date,region,new_confirmed
2020-04-08,New England,1953.0
2020-04-08,Pacific,1568.0
2020-04-08,South Atlantic,4148.0
2020-04-08,West North Central,794.0
2020-04-08,West South Central,1944.0
2020-04-09,East North Central,3312.0
2020-04-09,East South Central,1126.0
2020-04-09,Mid-Atlantic,16200.0
2020-04-09,Mountain,1239.0
2020-04-09,New England,4510.0
2020-04-09,Pacific,1859.0
2020-04-09,South Atlantic,3526.0
2020-04-09,West North Central,620.0
2020-04-09,West South Central,2409.0
2020-04-10,East North Central,3685.0
2020-04-10,East South Central,983.0
2020-04-10,Mid-Atlantic,15887.0
2020-04-10,Mountain,945.0
2020-04-10,New England,3332.0
2020-04-10,Pacific,1609.0
2020-04-10,South Atlantic,4032.0
2020-04-10,West North Central,699.0
2020-04-10,West South Central,2573.0
2020-04-11,East North Central,3158.0
2020-04-11,East South Central,648.0
2020-04-11,Mid-Atlantic,15185.0
2020-04-11,Mountain,1059.0
2020-04-11,New England,3245.0
2020-04-11,Pacific,1594.0
2020-04-11,South Atlantic,3861.0
2020-04-11,West North Central,693.0
2020-04-11,West South Central,1780.0
2020-04-12,East North Central,3347.0
2020-04-12,East South Central,814.0
2020-04-12,Mid-Atlantic,13113.0
2020-04-12,Mountain,917.0
2020-04-12,New England,3522.0
2020-04-12,Pacific,1590.0
2020-04-12,South Atlantic,2627.0
2020-04-12,West North Central,550.0
2020-04-12,West South Central,1660.0
2020-04-13,East North Central,3004.0
2020-04-13,East South Central,795.0
2020-04-13,Mid-Atlantic,10437.0
2020-04-13,Mountain,854.0
2020-04-13,New England,3046.0
2020-04-13,Pacific,810.0
2020-04-13,South Atlantic,3416.0
2020-04-13,West North Central,722.0
2020-04-13,West South Central,1072.0
2020-04-14,East North Central,2895.0
2020-04-14,East South Central,585.0
2020-04-14,Mid-Atlantic,12563.0
2020-04-14,Mountain,676.0
2020-04-14,New England,2285.0
2020-04-14,Pacific,1150.0
2020-04-14,South Atlantic,3578.0
2020-04-14,West North Central,877.0
2020-04-14,West South Central,1405.0
2020-04-15,East North Central,3412.0
2020-04-15,East South Central,928.0
2020-04-15,Mid-Atlantic,14922.0
2020-04-15,Mountain,941.0
2020-04-15,New England,2921.0
2020-04-15,Pacific,1526.0
2020-04-15,South Atlantic,2724.0
2020-04-15,West North Central,762.0
2020-04-15,West South Central,1469.0
2020-04-16,East North Central,3455.0
2020-04-16,East South Central,760.0
2020-04-16,Mid-Atlantic,14037.0
2020-04-16,Mountain,1099.0
2020-04-16,New England,3891.0
2020-04-16,Pacific,2112.0
2020-04-16,South Atlantic,3338.0
2020-04-16,West North Central,843.0
2020-04-16,West South Central,1689.0
2020-04-17,East North Central,4215.0
2020-04-17,East South Central,819.0
2020-04-17,Mid-Atlantic,12214.0
2020-04-17,Mountain,1124.0
2020-04-17,New England,3556.0
2020-04-17,Pacific,1764.0
2020-04-17,South Atlantic,5274.0
2020-04-17,West North Central,922.0
2020-04-17,West South Central,1685.0
2020-04-18,East North Central,4070.0
2020-04-18,East South Central,572.0
2020-04-18,Mid-Atlantic,11671.0
2020-04-18,Mountain,973.0
2020-04-18,New England,2338.0
2020-04-18,Pacific,1810.0
2020-04-18,South Atlantic,3727.0
2020-04-18,West North Central,913.0
2020-04-18,West South Central,1500.0
2020-04-19,East North Central,3837.0
2020-04-19,East South Central,975.0
2020-04-19,Mid-Atlantic,11150.0
2020-04-19,Mountain,818.0
2020-04-19,New England,2866.0
2020-04-19,Pacific,1799.0
2020-04-19,South Atlantic,3275.0
2020-04-19,West North Central,1022.0
2020-04-19,West South Central,1082.0
2020-04-20,East North Central,4058.0
2020-04-20,East South Central,847.0
2020-04-20,Mid-Atlantic,9179.0
2020-04-20,Mountain,889.0
2020-04-20,New England,2710.0
2020-04-20,Pacific,901.0
2020-04-20,South Atlantic,3336.0
2020-04-20,West North Central,1089.0
2020-04-20,West South Central,1353.0
2020-04-21,East North Central,4019.0
2020-04-21,East South Central,656.0
2020-04-21,Mid-Atlantic,9055.0
2020-04-21,Mountain,900.0
2020-04-21,New England,4114.0
2020-04-21,Pacific,2435.0
2020-04-21,South Atlantic,3475.0
2020-04-21,West North Central,1179.0
2020-04-21,West South Central,1500.0
2020-04-22,East North Central,4155.0
2020-04-22,East South Central,1002.0
2020-04-22,Mid-Atlantic,10160.0
2020-04-22,Mountain,1108.0
2020-04-22,New England,4360.0
2020-04-22,Pacific,2519.0
2020-04-22,South Atlantic,3835.0
2020-04-22,West North Central,1005.0
2020-04-22,West South Central,1413.0
2020-04-23,East North Central,4238.0
2020-04-23,East South Central,1177.0
